58,MH529995/2018-19/115345711,7.66000 MAl,0.52000 N,0.18000 VL,79.00000 VL,9.20000 L,38.00000 VL,8.30000 D,0.62000 S,6.40000 S,2.20000 S,9.50000 S,0.50000 D
59,MH529995/2018-19/115346826,8.00000 MAl,0.28000 N,0.20000 VL,92.00000 VL,8.40000 L,53.00000 VL,14.70000 S,0.84000 S,3.90000 D,2.40000 S,10.50000 S,0.36000 D
60,MH529995/2018-19/115347166,7.43000 MAl,0.29000 N,0.29000 L,131.00000 VL,13.30000 M,47.00000 VL,13.80000 S,0.60000 D,5.50000 S,2.80000 S,12.00000 S,0.38000 D
61,MH529995/2018-19/115356054,8.02000 MAl,0.24000 N,0.18000 VL,79.00000 VL,11.20000 M,33.00000 VL,12.00000 S,0.34000 D,5.90000 S,1.60000 S,10.90000 S,0.44000 D
62,MH529995/2018-19/115356139,7.46000 MAl,0.54000 N,0.23000 VL,105.00000 VL,17.10000 M,44.00000 VL,15.90000 S,0.30000 D,4.70000 S,1.80000 S,13.50000 S,0.58000 S
63,MH529995/2018-19/115356296,8.06000 MAl,0.26000 N,0.35000 L,157.00000 L,22.60000 M,50.00000 VL,12.30000 S,0.24000 D,3.70000 D,1.20000 S,7.40000 S,0.62000 S
64,MH529995/2018-19/115356422,7.13000 MAl,0.36000 N,0.23000 VL,105.00000 VL,19.00000 M,19.00000 VL,13.30000 S,0.36000 D,5.10000 S,1.60000 S,8.20000 S,0.50000 D
65,MH529995/2018-19/115356546,8.10000 MAl,0.30000 N,0.32000 L,144.00000 L,14.10000 M,45.00000 VL,9.30000 D,0.42000 D,4.90000 S,2.50000 S,7.10000 S,0.32000 D
66,MH529995/2018-19/115356771,7.80000 MAl,0.22000 N,0.35000 L,157.00000 L,13.30000 M,39.00000 VL,9.50000 D,0.54000 D,4.60000 S,1.30000 S,9.30000 S,0.26000 D
67,MH529995/2018-19/115356921,8.10000 MAl,0.23000 N,0.23000 VL,105.00000 VL,19.00000 M,43.00000 VL,7.80000 D,0.52000 D,5.00000 S,2.60000 S,8.70000 S,0.34000 D
68,MH529995/2018-19/115357142,7.30000 MAl,0.75000 N,0.20000 VL,92.00000 VL,10.30000 M,28.00000 VL,9.20000 D,0.26000 D,4.40000 D,3.00000 S,6.80000 S,0.44000 D
69,MH529995/2018-19/115357326,8.20000 MAl,0.30000 N,0.18000 VL,79.00000 VL,18.50000 M,20.00000 VL,11.00000 S,0.30000 D,5.70000 S,1.80000 S,12.10000 S,0.48000 D
70,MH529995/2018-19/115421450,7.50000 MAl,0.61000 N,0.26000 L,118.00000 VL,20.10000 M,40.00000 VL,11.00000 S,0.36000 D,5.80000 S,1.50000 S,10.80000 S,0.42000 D
71,MH529995/2018-19/115421986,8.05000 MAl,0.22000 N,0.20000 VL,92.00000 VL,21.80000 M,26.00000 VL,11.80000 S,0.24000 D,5.10000 S,1.90000 S,9.00000 S,0.44000 D
72,MH529995/2018-19/115422322,7.61000 MAl,0.34000 N,0.29000 L,131.00000 VL,16.60000 M,53.00000 VL,12.40000 S,0.30000 D,5.40000 S,2.50000 S,9.80000 S,0.26000 D
73,MH529995/2018-19/115422625,7.70000 MAl,0.18000 N,0.38000 L,170.00000 L,19.30000 M,58.00000 VL,14.90000 S,0.38000 D,5.90000 S,2.50000 S,9.80000 S,0.48000 D
74,MH529995/2018-19/115423574,7.59000 MAl,0.44000 N,0.23000 VL,105.00000 VL,13.30000 M,50.00000 VL,14.30000 S,0.20000 D,4.80000 S,2.90000 S,15.10000 S,0.54000 S
75,MH529995/2018-19/115423831,7.13000 MAl,0.14000 N,0.18000 VL,79.00000 VL,19.00000 M,64.00000 VL,13.00000 S,0.34000 D,4.60000 S,2.50000 S,14.50000 S,0.56000 S
76,MH529995/2018-19/115424376,7.43000 MAl,0.30000 N,0.41000 L,184.00000 L,15.20000 M,43.00000 VL,13.60000 S,0.48000 D,5.30000 S,1.30000 S,10.40000 S,0.34000 D
77,MH529995/2018-19/115424877,8.10000 MAl,0.19000 N,0.20000 VL,92.00000 VL,16.00000 M,25.00000 VL,8.30000 D,0.32000 D,5.70000 S,1.90000 S,14.00000 S,0.40000 D
78,MH529995/2018-19/115425337,7.69000 MAl,0.38000 N,0.26000 L,118.00000 VL,9.80000 L,27.00000 VL,11.70000 S,0.42000 D,3.90000 D,2.40000 S,7.10000 S,0.34000 D
79,MH529995/2018-19/115425664,8.10000 MAl,0.22000 N,0.38000 L,170.00000 L,23.10000 M,34.00000 VL,12.80000 S,0.48000 D,4.30000 D,2.90000 S,14.60000 S,0.28000 D
80,MH529995/2018-19/115425969,7.21000 MAl,0.22000 N,0.38000 L,170.00000 L,23.10000 M,34.00000 VL,12.80000 S,0.48000 D,4.30000 D,2.90000 S,14.60000 S,0.28000 D
81,MH529995/2018-19/115426487,8.10000 MAl,0.26000 N,0.18000 VL,79.00000 VL,13.10000 M,65.00000 VL,12.00000 S,0.28000 D,4.50000 D,2.20000 S,8.60000 S,0.38000 D
82,MH529995/2018-19/115427192,7.40000 MAl,0.39000 N,0.35000 L,157.00000 L,24.80000 M,76.00000 L,14.40000 S,0.32000 D,3.70000 D,1.90000 S,9.00000 S,0.34000 D
